"Home","Accueil"
"Show category products","Produits de la catégorie"
"Sub Categories","Sous Catégories"
"Global Settings","Paramètres principaux"
"Active","Activer"
"Skin","Design"
"Drop Down","Panneau déroulant"
"Show Left Column","Afficher la colonne de gauche"
"Show Middle Column","Afficher la colonne du milieu"
"Show Right Column","Afficher la colonne de droite"
"Middle Column Content","Contenu de la zone centrale"
"Middle Column Static Block Identifier","Identifiant du bloc statique de la zone centrale"
"Shown if the 'Middle Column Content' option is Static Block","Afficher si l'option 'Contenu de la zone centrale' est sur 'bloc statique'"
"Main Bar","Barre principale"
"Show Home Link","Afficher un lien vers la page d'accueil"
"Depth","Profondeur"
"Nb Categories per Columns","Nombre de catégories par colonne"
"View More Link","Lien Voir Plus"
"Show a view more link after a fixed number of sub-categories","Afficher un lien Voir Plus après un nombre fixé de sous-catégories"
"Number of sub-categories Limit","Limite du nombre de sous-catégories"
"Limit before the View More Link","Limite de sous-catégories avant le lien Voir Plus"
"View More in sub-categories Columns","Voir plus dans les sous-catégories"
"Put View More Link in Nb Categories per Columns counter","Mettre le lien Voir plus dans le compte des sous-catégories"
"Thumbnail","Miniature"
"Show Thumbnail","Afficher la miniature"
"Category Thumbnail if Magento version >= 1.5, Category Image for previous version","Affiche la mignature si la version de Magento >= 1.5, l'image pour les versions précédentes"
"Thumbnail Position","Position de la miniature"
"Thumbnail Order","Ordre de la miniature"
"Thumbnail Width","Largeur de la miniature"
"In pixel","En pixels"
"Thumbnail Height","Hauteur de la miniature"
"In pixel. 0 for height auto","En pixels. 0 pour une hauteur automatique"
"Category Link","Lien vers la catégorie"
"Show Category Link","Afficher un lien vers la catégorie"
"Category Link Position","Position du lien"
"Category Link Order","Ordre du lien"
"Category Description","Description de la catégorie"
"Show Description","Afficher la description"
"Description Position","Position de la description"
"Description Order","Ordre de la description"
"Static Blocks","Blocs statiques"
"Show Static Block 1","Afficher le bloc statique 1"
"Static Block 1 Position","Position du bloc statique 1"
"Static Block 1 Order","Ordre du bloc statique 1"
"Static Block 1 Identifier","Identifiant du bloc statique 1"
"Show Static Block 2","Afficher le bloc statique 2"
"Static Block 2 Position","Position du bloc statique 2"
"Static Block 2 Order","Ordre du bloc statique 2"
"Static Block 2 Identifier","Identifiant du bloc statique 2"
"Show Static Block 3","Afficher le bloc statique 3"
"Static Block 3 Position","Position du bloc statique 3"
"Static Block 3 Order","Ordre du bloc statique 3"
"Static Block 3 Identifier","Identifiant du bloc statique 3"
"Static Block","Bloc statique"
"Default","Défaut"
"Clean","Simple"
"Before Categories","Avant les categories"
"After Categories","Après les categories"
"level","niveau"
"levels","niveaux"
"Left Column","Colonne de gauche"
"Middle Column","Colonne du milieu"
"Right Column","Colonne de droite"
"CMS Link 1 Identifier","Identifiant du lien CMS 1"
"CMS Link 1 Position","Position du lien CMS 1"
"CMS Link 1 Order","Ordre du lien CMS 1"
"CMS Link 2 Identifier","Identifiant du lien CMS 2"
"CMS Link 2 Position","Position du lien CMS 2"
"CMS Link 2 Order","Ordre du lien CMS 2"
"CMS Link 3 Identifier","Identifiant du lien CMS 3"
"CMS Link 3 Position","Position du lien CMS 3"
"CMS Link 3 Order","Ordre du lien CMS 3"
"Custom Link 1 URL","URL du lien personnalisé 1"
"Custom Link 1 Title","Titre du lien personnalisé 1"
"Custom Link 1 Position","Position du lien personnalisé 1"
"Custom Link 1 Order","Ordre du lien personnalisé 1"
"Custom Link 2 URL","URL du lien personnalisé 2"
"Custom Link 2 Title","Titre du lien personnalisé 2"
"Custom Link 2 Position","Position du lien personnalisé 2"
"Custom Link 2 Order","Ordre du lien personnalisé 2"
"Custom Link 3 URL","URL du lien personnalisé 3"
"Custom Link 3 Title","Titre du lien personnalisé 3"
"Custom Link 3 Position","Position du lien personnalisé 3"
"Custom Link 3 Order","Ordre du lien personnalisé 3"
"Clickable Category Link","Lien de la catégorie cliquable"
"You can add the category name with {{category_name}} to your label. Ex: Show {{category_name}} products.","Vous pouvez ajouter le nom de la catégorie avec {{category_name}} dans le titre. Ex: Afficher les produits de la catégorie {{category_name}}."
"Flat","A plat"
"Nested","Imbriquée"
"In milliseconds.","En millisecondes."
"Time delay before display","Délai d'attente avant l'affichage"
"Display Effect","Effet à afficher"
